market,contact_name,channel_name,role,platform,language,region_city,audience_estimate,fit_score,fit_notes,contact_route,contact_url,first_touch_date,first_touch_status,followup_1_date,followup_1_status,followup_2_date,followup_2_status,cta_requested,asset_pack_sent,track_link_sent,preview_link_sent,premiere_link_sent,result_status,result_link,notes
Japan,Editorial Team,AVYSS,Media/Curator,Web/Instagram,Japanese,Tokyo,to-verify,5,Experimental electronic culture fit,email_or_dm,https://avyss-magazine.com/, ,not_started, ,not_started, ,not_started,Story repost with premiere link,no,no,no,no,pending, ,Verify active submission path
Japan,Editorial Team,FNMNL,Media/Curator,Web/Instagram/X,Japanese,Tokyo,to-verify,4,Music and culture discovery fit,email_or_dm,https://fnmnl.tv/, ,not_started, ,not_started, ,not_started,Feature post or social mention,no,no,no,no,pending, ,Verify best editor contact
Japan,Programming Team,block.fm,DJ platform,Web/X,Japanese,Tokyo,to-verify,5,Electronic and DJ audience alignment,email_or_form,https://block.fm/, ,not_started, ,not_started, ,not_started,Show mention or repost,no,no,no,no,pending, ,Confirm contact route
Japan,Programming Team,DOMMUNE,Live media platform,Web/X,Japanese,Tokyo,to-verify,5,Strong audiovisual and experimental fit,email_or_form,https://www.dommune.com/, ,not_started, ,not_started, ,not_started,Schedule mention or replay share,no,no,no,no,pending, ,Check current booking pathway
Japan,Editorial Team,Spincoaster,Media/Curator,Web/Instagram/X,Japanese,Tokyo,to-verify,4,Indie and electronic crossover fit,email_or_dm,https://spincoaster.com/, ,not_started, ,not_started, ,not_started,Short editorial mention,no,no,no,no,pending, ,Validate response channel
Japan,Editorial Team,iFLYER,Event media,Web/Instagram,Japanese,Tokyo,to-verify,4,Event and live promotion relevance,web_form,https://iflyer.tv/, ,not_started, ,not_started, ,not_started,Event listing or mention,no,no,no,no,pending, ,Use event listing route first
Japan,Programming Team,WOMB,Venue/Curator,Instagram/Web,Japanese,Tokyo,to-verify,4,Club audience and visual-performance fit,instagram_dm,https://www.womb.co.jp/, ,not_started, ,not_started, ,not_started,Story mention or event repost,no,no,no,no,pending, ,Confirm media contact
Japan,Programming Team,CIRCUS TOKYO,Venue/Curator,Instagram/Web,Japanese,Tokyo,to-verify,4,Underground electronic audience fit,instagram_dm,https://circus-tokyo.jp/, ,not_started, ,not_started, ,not_started,Repost with local-time reminder,no,no,no,no,pending, ,Verify active socials
Japan,Editorial Team,Resident Advisor Japan,Media/Curator,Web/Instagram,Japanese,Tokyo,to-verify,4,Electronic tastemaker audience and credibility,email_or_form,https://ra.co/, ,not_started, ,not_started, ,not_started,Editorial listing or mention,no,no,no,no,pending, ,Use JP relevant desk if available
Japan,Creator Team,Japan Electronic Creator 01,Creator,Instagram/TikTok,Japanese,Tokyo,to-verify,3,Short-form visual electronic fit,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,15s reel repost,no,no,no,no,pending, ,Replace with named creator after research
